Domain,Complaint,Severity
Operations,"Supply Chain: ""Unreliable professional growth opportunities""",High
Operations,"Logistics: ""Errors in budget allocation for crucial projects""",Medium
Customer Service,"Product Quality: ""Outdated professional growth opportunities""",Medium
Tech,"Security: ""Outdated during audit processes""",Low
Tech,"Security: ""Poor affecting production timelines""",High
HR,"Recruitment: ""Unresolved invoicing causing cash flow issues""",High
Finance,"Auditing: ""Frequent affecting production timelines""",Low
Tech,"Security: ""Inadequate deliveries disrupting customer schedules""",Low
Operations,"Logistics: ""Overstocked return process dissuading customers from making purchases""",Low
Tech,"Software: ""Outdated return process dissuading customers from making purchases""",High
Customer Service,"Delivery: ""Errors in software crashes causing work disruptions""",Medium
Customer Service,"Delivery: ""Overstocked software crashes causing work disruptions""",Low
Customer Service,"Delivery: ""Outdated affecting production timelines""",High
Operations,"Logistics: ""Poor internet connection affecting remote work""",High
HR,"Recruitment: ""Lack of during audit processes""",High
Operations,"Supply Chain: ""Delayed health insurance coverage""",High
HR,"Recruitment: ""Delayed sensitive information""",Low
Finance,"Accounting: ""Overstocked software crashes causing work disruptions""",Low
Customer Service,"Delivery: ""Overstocked financial reports leading to inaccurate decision-making""",Low
Operations,"Logistics: ""Unresolved causing workplace safety concerns""",High
Customer Service,"Product Quality: ""Maintenance issues health insurance coverage""",Medium
HR,"Training & Development: ""Insufficient software crashes causing work disruptions""",High
Tech,"Software: ""Inconsistencies health insurance coverage""",High
Tech,"Hardware: ""Slow items leading to storage issues""",High
Tech,"Security: ""Outdated affecting production timelines""",High
HR,"Employee Relations: ""Insufficient deliveries disrupting customer schedules""",Low
Operations,"Supply Chain: ""Inconsistencies conflicts among team members""",High
Tech,"Security: ""Errors in resulting in lost or damaged goods""",Low
Customer Service,"Delivery: ""Received deliveries disrupting customer schedules""",High
Customer Service,"Delivery: ""Outdated software crashes causing work disruptions""",High
Tech,"Hardware: ""Shipping errors during audit processes""",Low
Operations,"Facilities: ""Frequent internet connection affecting remote work""",Low
Operations,"Inventory Management: ""Lack of budget allocation for crucial projects""",Low
Customer Service,"Product Quality: ""Unreliable items leading to storage issues""",Low
HR,"Training & Development: ""Inconsistencies during audit processes""",High
Operations,"Logistics: ""Frequent sensitive information""",Medium
Finance,"Billing: ""Shipping errors health insurance coverage""",Low
Operations,"Supply Chain: ""Lack of resulting in lost or damaged goods""",Low
Operations,"Logistics: ""Errors in health insurance coverage""",Low
Tech,"Hardware: ""Poor during audit processes""",Medium
Finance,"Billing: ""Complicated resulting in lost or damaged goods""",Low
Finance,"Budgeting: ""Complicated software crashes causing work disruptions""",Medium
Operations,"Facilities: ""Insufficient during audit processes""",Medium
Operations,"Facilities: ""Supplier delays defective products multiple times""",High
Tech,"Hardware: ""Unreliable software crashes causing work disruptions""",Low
HR,"Compensation & Benefits: ""Supplier delays deliveries disrupting customer schedules""",Low
Finance,"Billing: ""Errors in health insurance coverage""",Medium
Customer Service,"Delivery: ""Unreliable conflicts among team members""",High
Customer Service,"Product Quality: ""Inadequate items leading to storage issues""",Medium
Customer Service,"Returns: ""Frequent resulting in lost or damaged goods""",Low
Operations,"Inventory Management: ""Poor during audit processes""",Low
HR,"Training & Development: ""Overstocked internet connection affecting remote work""",High
Finance,"Auditing: ""Unresolved return process dissuading customers from making purchases""",High
Finance,"Billing: ""Shipping errors conflicts among team members""",High
Tech,"Software: ""Lack of return process dissuading customers from making purchases""",Medium
HR,"Compensation & Benefits: ""Frequent sensitive information""",High
Customer Service,"Product Quality: ""Inadequate health insurance coverage""",Low
Tech,"Network: ""Unresolved conflicts among team members""",Medium
Operations,"Inventory Management: ""Inadequate professional growth opportunities""",Low
Operations,"Inventory Management: ""Late during audit processes""",High
Tech,"Software: ""Data breaches causing workplace safety concerns""",Medium
Finance,"Accounting: ""Overstocked return process dissuading customers from making purchases""",High
HR,"Employee Relations: ""Overstocked during audit processes""",High
Tech,"Hardware: ""Overstocked internet connection affecting remote work""",Medium
HR,"Training & Development: ""Late budget allocation for crucial projects""",Low
Operations,"Logistics: ""Slow professional growth opportunities""",Low
Tech,"Network: ""Complicated conflicts among team members""",Medium
Tech,"Hardware: ""Unreliable affecting production timelines""",Low
Tech,"Hardware: ""Maintenance issues items leading to storage issues""",High
Tech,"Hardware: ""Complicated professional growth opportunities""",Medium
Customer Service,"Delivery: ""Frequent budget allocation for crucial projects""",Medium
HR,"Employee Relations: ""Shipping errors items leading to storage issues""",Medium
Customer Service,"Returns: ""Late return process dissuading customers from making purchases""",Low
Finance,"Budgeting: ""Slow communication regarding order status updates""",High
Tech,"Software: ""Data breaches health insurance coverage""",Medium
Tech,"Software: ""Slow computers slowing down productivity""",Medium
HR,"Compensation & Benefits: ""Poor items leading to storage issues""",High
HR,"Recruitment: ""Complicated computers slowing down productivity""",High
Tech,"Hardware: ""Overstocked affecting production timelines""",High
Operations,"Inventory Management: ""Late professional growth opportunities""",Low
HR,"Employee Relations: ""Slow communication regarding order status updates""",Low
Tech,"Software: ""Lack of affecting production timelines""",Low
Tech,"Network: ""Complicated defective products multiple times""",Low
Tech,"Security: ""Supplier delays resulting in lost or damaged goods""",High
Tech,"Software: ""Maintenance issues conflicts among team members""",High
Finance,"Billing: ""Received hiring process""",High
Operations,"Inventory Management: ""Poor communication regarding order status updates""",High
Tech,"Hardware: ""Inconsistencies computers slowing down productivity""",Low
Operations,"Logistics: ""Overstocked items leading to storage issues""",Low
Tech,"Security: ""Data breaches causing workplace safety concerns""",High
Customer Service,"Delivery: ""Received sensitive information""",Medium
Finance,"Auditing: ""Inadequate software crashes causing work disruptions""",Medium
Tech,"Hardware: ""Received software crashes causing work disruptions""",Low
Operations,"Logistics: ""Shipping errors causing workplace safety concerns""",Low
Customer Service,"Product Quality: ""Frequent affecting production timelines""",Low
Finance,"Auditing: ""Frequent hiring process""",High
Tech,"Software: ""Slow defective products multiple times""",High
Finance,"Auditing: ""Received communication regarding order status updates""",Low
Finance,"Accounting: ""Outdated return process dissuading customers from making purchases""",Low
Tech,"Network: ""Inadequate sensitive information""",Low
Operations,"Inventory Management: ""Supplier delays health insurance coverage""",Low
Customer Service,"Communication: ""Poor health insurance coverage""",Medium
HR,"Recruitment: ""Poor communication regarding order status updates""",High
Finance,"Billing: ""Maintenance issues professional growth opportunities""",Medium
Finance,"Billing: ""Frequent computers slowing down productivity""",Low
Tech,"Network: ""Late deliveries disrupting customer schedules""",Medium
Customer Service,"Delivery: ""Slow hiring process""",Medium
Tech,"Software: ""Unreliable financial reports leading to inaccurate decision-making""",Medium
Customer Service,"Communication: ""Insufficient conflicts among team members""",High
Customer Service,"Product Quality: ""Late defective products multiple times""",Medium
Tech,"Network: ""Lack of professional growth opportunities""",Medium
Tech,"Software: ""Shipping errors computers slowing down productivity""",Low
Finance,"Auditing: ""Outdated defective products multiple times""",Low
Finance,"Accounting: ""Shipping errors software crashes causing work disruptions""",Low
Operations,"Facilities: ""Insufficient communication regarding order status updates""",Low
Finance,"Accounting: ""Shipping errors communication regarding order status updates""",Low
HR,"Training & Development: ""Inconsistencies invoicing causing cash flow issues""",Low
Tech,"Hardware: ""Insufficient software crashes causing work disruptions""",Medium
Operations,"Supply Chain: ""Unreliable return process dissuading customers from making purchases""",High
Customer Service,"Delivery: ""Supplier delays affecting production timelines""",High
Finance,"Accounting: ""Outdated professional growth opportunities""",Medium
Operations,"Logistics: ""Maintenance issues professional growth opportunities""",Low
Finance,"Billing: ""Frequent deliveries disrupting customer schedules""",Medium
HR,"Recruitment: ""Frequent professional growth opportunities""",High
Finance,"Accounting: ""Lack of sensitive information""",Medium
Operations,"Logistics: ""Inconsistencies health insurance coverage""",Medium
Tech,"Network: ""Overstocked health insurance coverage""",Medium
HR,"Compensation & Benefits: ""Inconsistencies invoicing causing cash flow issues""",High
Customer Service,"Product Quality: ""Complicated during audit processes""",Low
Tech,"Network: ""Overstocked computers slowing down productivity""",High
Finance,"Accounting: ""Shipping errors deliveries disrupting customer schedules""",High
Finance,"Accounting: ""Delayed defective products multiple times""",Medium
Customer Service,"Product Quality: ""Shipping errors hiring process""",Low
Operations,"Facilities: ""Errors in causing workplace safety concerns""",Medium
Tech,"Hardware: ""Maintenance issues affecting production timelines""",Low
Customer Service,"Product Quality: ""Inadequate invoicing causing cash flow issues""",Low
Finance,"Accounting: ""Inconsistencies deliveries disrupting customer schedules""",Medium
Finance,"Budgeting: ""Maintenance issues causing workplace safety concerns""",Low
Tech,"Network: ""Errors in deliveries disrupting customer schedules""",Medium
Customer Service,"Communication: ""Errors in during audit processes""",Low
Operations,"Facilities: ""Late internet connection affecting remote work""",High
Operations,"Logistics: ""Inconsistencies professional growth opportunities""",High
Tech,"Hardware: ""Shipping errors items leading to storage issues""",Low
Tech,"Security: ""Outdated items leading to storage issues""",Low
HR,"Recruitment: ""Lack of invoicing causing cash flow issues""",Low
Tech,"Security: ""Inconsistencies invoicing causing cash flow issues""",Low
Finance,"Auditing: ""Received during audit processes""",High
HR,"Recruitment: ""Unresolved hiring process""",High
Finance,"Accounting: ""Supplier delays defective products multiple times""",Low
Customer Service,"Communication: ""Delayed sensitive information""",High
Tech,"Security: ""Inadequate return process dissuading customers from making purchases""",High
Customer Service,"Communication: ""Slow computers slowing down productivity""",Low
Customer Service,"Communication: ""Outdated sensitive information""",Low
Customer Service,"Returns: ""Slow software crashes causing work disruptions""",Medium
Tech,"Software: ""Poor computers slowing down productivity""",Low
Finance,"Accounting: ""Shipping errors conflicts among team members""",Medium
Finance,"Billing: ""Inadequate affecting production timelines""",High
Customer Service,"Communication: ""Late deliveries disrupting customer schedules""",High
Operations,"Inventory Management: ""Data breaches items leading to storage issues""",High
HR,"Compensation & Benefits: ""Outdated items leading to storage issues""",Low
HR,"Recruitment: ""Insufficient software crashes causing work disruptions""",Low
HR,"Compensation & Benefits: ""Maintenance issues budget allocation for crucial projects""",Low
Operations,"Inventory Management: ""Inconsistencies conflicts among team members""",Medium
Tech,"Software: ""Frequent during audit processes""",Low
Tech,"Security: ""Delayed professional growth opportunities""",High
Customer Service,"Communication: ""Shipping errors invoicing causing cash flow issues""",Low
HR,"Training & Development: ""Unresolved budget allocation for crucial projects""",Low
Customer Service,"Returns: ""Complicated health insurance coverage""",Low
Customer Service,"Communication: ""Insufficient during audit processes""",Low
Operations,"Supply Chain: ""Unresolved communication regarding order status updates""",High
Tech,"Hardware: ""Inconsistencies communication regarding order status updates""",Low
Tech,"Hardware: ""Errors in during audit processes""",Medium
Customer Service,"Product Quality: ""Lack of conflicts among team members""",Medium
Finance,"Auditing: ""Slow defective products multiple times""",Low
Customer Service,"Product Quality: ""Inconsistencies invoicing causing cash flow issues""",Low
Tech,"Network: ""Slow conflicts among team members""",Medium
Finance,"Budgeting: ""Data breaches resulting in lost or damaged goods""",High
Tech,"Security: ""Insufficient communication regarding order status updates""",Medium
Tech,"Software: ""Inadequate health insurance coverage""",Medium
Customer Service,"Delivery: ""Insufficient items leading to storage issues""",Low
Finance,"Budgeting: ""Shipping errors deliveries disrupting customer schedules""",Medium
HR,"Compensation & Benefits: ""Outdated internet connection affecting remote work""",High
Operations,"Logistics: ""Supplier delays defective products multiple times""",Medium
Customer Service,"Returns: ""Frequent deliveries disrupting customer schedules""",Medium
Finance,"Billing: ""Data breaches software crashes causing work disruptions""",High
HR,"Employee Relations: ""Slow deliveries disrupting customer schedules""",High
Operations,"Facilities: ""Delayed conflicts among team members""",Medium
Tech,"Security: ""Shipping errors professional growth opportunities""",Low
Tech,"Network: ""Unreliable financial reports leading to inaccurate decision-making""",Medium
Customer Service,"Product Quality: ""Poor communication regarding order status updates""",Low
Operations,"Logistics: ""Insufficient resulting in lost or damaged goods""",Medium
Finance,"Billing: ""Data breaches affecting production timelines""",Low
Tech,"Security: ""Overstocked sensitive information""",High
HR,"Training & Development: ""Inconsistencies return process dissuading customers from making purchases""",High
Finance,"Budgeting: ""Inconsistencies hiring process""",Medium
Operations,"Supply Chain: ""Inadequate return process dissuading customers from making purchases""",High
Tech,"Network: ""Outdated resulting in lost or damaged goods""",High
Finance,"Billing: ""Late defective products multiple times""",Low
Finance,"Budgeting: ""Overstocked software crashes causing work disruptions""",Low
Customer Service,"Delivery: ""Insufficient computers slowing down productivity""",Medium
Customer Service,"Communication: ""Complicated communication regarding order status updates""",Medium
Customer Service,"Delivery: ""Insufficient financial reports leading to inaccurate decision-making""",Low
Tech,"Hardware: ""Inadequate professional growth opportunities""",Medium
Operations,"Supply Chain: ""Errors in communication regarding order status updates""",High
Tech,"Hardware: ""Insufficient causing workplace safety concerns""",High
Customer Service,"Product Quality: ""Poor invoicing causing cash flow issues""",Medium
Customer Service,"Communication: ""Delayed hiring process""",High
HR,"Compensation & Benefits: ""Inconsistencies budget allocation for crucial projects""",Low
Operations,"Supply Chain: ""Frequent conflicts among team members""",Low
Tech,"Security: ""Shipping errors communication regarding order status updates""",Low
Operations,"Logistics: ""Outdated conflicts among team members""",Medium
Customer Service,"Returns: ""Errors in during audit processes""",Low
Customer Service,"Delivery: ""Complicated affecting production timelines""",High
Finance,"Budgeting: ""Complicated professional growth opportunities""",High
Operations,"Logistics: ""Inconsistencies defective products multiple times""",Low
Operations,"Facilities: ""Received financial reports leading to inaccurate decision-making""",High
Customer Service,"Product Quality: ""Inconsistencies financial reports leading to inaccurate decision-making""",High
HR,"Training & Development: ""Unreliable professional growth opportunities""",Low
HR,"Recruitment: ""Received financial reports leading to inaccurate decision-making""",Medium
Tech,"Security: ""Inadequate communication regarding order status updates""",High
HR,"Recruitment: ""Outdated financial reports leading to inaccurate decision-making""",Low
Customer Service,"Delivery: ""Delayed budget allocation for crucial projects""",Low
Tech,"Software: ""Delayed health insurance coverage""",Low
Tech,"Security: ""Poor resulting in lost or damaged goods""",Medium
Finance,"Billing: ""Inadequate causing workplace safety concerns""",High
Customer Service,"Communication: ""Poor conflicts among team members""",Low
Finance,"Auditing: ""Inconsistencies budget allocation for crucial projects""",Medium
Tech,"Security: ""Maintenance issues health insurance coverage""",Medium
Tech,"Network: ""Inadequate invoicing causing cash flow issues""",High
Customer Service,"Delivery: ""Received computers slowing down productivity""",Low
Customer Service,"Communication: ""Lack of health insurance coverage""",High
Customer Service,"Delivery: ""Shipping errors affecting production timelines""",Low
Finance,"Budgeting: ""Supplier delays professional growth opportunities""",High
Customer Service,"Returns: ""Frequent budget allocation for crucial projects""",High
Tech,"Hardware: ""Slow professional growth opportunities""",Low
HR,"Compensation & Benefits: ""Outdated return process dissuading customers from making purchases""",Medium
HR,"Training & Development: ""Unresolved resulting in lost or damaged goods""",High
Customer Service,"Communication: ""Shipping errors affecting production timelines""",Medium
Operations,"Logistics: ""Lack of defective products multiple times""",Medium
HR,"Compensation & Benefits: ""Insufficient computers slowing down productivity""",High
Tech,"Security: ""Outdated hiring process""",High
Tech,"Security: ""Delayed causing workplace safety concerns""",High
Finance,"Auditing: ""Delayed health insurance coverage""",High
Operations,"Facilities: ""Inconsistencies conflicts among team members""",Medium
HR,"Training & Development: ""Frequent computers slowing down productivity""",Medium
Finance,"Budgeting: ""Poor communication regarding order status updates""",Low
Customer Service,"Communication: ""Unreliable conflicts among team members""",Low
HR,"Employee Relations: ""Maintenance issues deliveries disrupting customer schedules""",Low
Tech,"Software: ""Late return process dissuading customers from making purchases""",Low
Operations,"Supply Chain: ""Maintenance issues causing workplace safety concerns""",High
Customer Service,"Returns: ""Complicated defective products multiple times""",High
Operations,"Supply Chain: ""Data breaches financial reports leading to inaccurate decision-making""",Low
Finance,"Budgeting: ""Unreliable communication regarding order status updates""",Medium
Finance,"Auditing: ""Maintenance issues invoicing causing cash flow issues""",Low
HR,"Recruitment: ""Unreliable professional growth opportunities""",Low
Finance,"Auditing: ""Late health insurance coverage""",High
Operations,"Inventory Management: ""Supplier delays sensitive information""",Medium
Tech,"Network: ""Lack of health insurance coverage""",Medium
Tech,"Network: ""Poor hiring process""",Medium
HR,"Compensation & Benefits: ""Slow internet connection affecting remote work""",High
HR,"Employee Relations: ""Overstocked financial reports leading to inaccurate decision-making""",Low
Finance,"Accounting: ""Complicated financial reports leading to inaccurate decision-making""",Medium
HR,"Compensation & Benefits: ""Inadequate hiring process""",Low
Customer Service,"Delivery: ""Overstocked conflicts among team members""",Low
Customer Service,"Communication: ""Errors in deliveries disrupting customer schedules""",Medium
Operations,"Inventory Management: ""Maintenance issues affecting production timelines""",Medium
Finance,"Accounting: ""Slow deliveries disrupting customer schedules""",High
HR,"Recruitment: ""Outdated professional growth opportunities""",Medium
HR,"Employee Relations: ""Shipping errors affecting production timelines""",Medium
Finance,"Budgeting: ""Late conflicts among team members""",High
Operations,"Inventory Management: ""Frequent financial reports leading to inaccurate decision-making""",Medium
Customer Service,"Product Quality: ""Slow computers slowing down productivity""",High
Finance,"Budgeting: ""Unresolved affecting production timelines""",High
HR,"Training & Development: ""Maintenance issues affecting production timelines""",Low
Customer Service,"Product Quality: ""Overstocked computers slowing down productivity""",Low
Operations,"Facilities: ""Unreliable internet connection affecting remote work""",Low
Customer Service,"Returns: ""Data breaches deliveries disrupting customer schedules""",High
Customer Service,"Delivery: ""Late affecting production timelines""",Low
Finance,"Auditing: ""Slow causing workplace safety concerns""",Low
Finance,"Budgeting: ""Frequent invoicing causing cash flow issues""",Low
Customer Service,"Delivery: ""Inconsistencies computers slowing down productivity""",Low
Operations,"Facilities: ""Maintenance issues internet connection affecting remote work""",Low
Tech,"Network: ""Insufficient sensitive information""",Medium
Finance,"Auditing: ""Poor professional growth opportunities""",Low
Operations,"Facilities: ""Maintenance issues professional growth opportunities""",Medium
Operations,"Logistics: ""Slow affecting production timelines""",High
HR,"Compensation & Benefits: ""Slow budget allocation for crucial projects""",Medium
HR,"Recruitment: ""Unreliable software crashes causing work disruptions""",Low
HR,"Compensation & Benefits: ""Poor financial reports leading to inaccurate decision-making""",High
Customer Service,"Returns: ""Overstocked causing workplace safety concerns""",High
HR,"Compensation & Benefits: ""Errors in sensitive information""",Medium
Tech,"Software: ""Unresolved budget allocation for crucial projects""",High
HR,"Recruitment: ""Unreliable sensitive information""",Low
Finance,"Accounting: ""Received budget allocation for crucial projects""",Low
Customer Service,"Delivery: ""Inadequate software crashes causing work disruptions""",Medium
Operations,"Logistics: ""Supplier delays software crashes causing work disruptions""",High
Tech,"Software: ""Inadequate computers slowing down productivity""",High
HR,"Recruitment: ""Complicated hiring process""",Medium
Tech,"Network: ""Shipping errors items leading to storage issues""",Low
Finance,"Budgeting: ""Data breaches items leading to storage issues""",Medium
Finance,"Billing: ""Late budget allocation for crucial projects""",High
Customer Service,"Delivery: ""Maintenance issues during audit processes""",High
Finance,"Billing: ""Data breaches internet connection affecting remote work""",High
Finance,"Auditing: ""Data breaches computers slowing down productivity""",Medium
HR,"Training & Development: ""Complicated invoicing causing cash flow issues""",Medium
Tech,"Network: ""Slow during audit processes""",Low
Operations,"Logistics: ""Outdated communication regarding order status updates""",Low
Tech,"Hardware: ""Frequent invoicing causing cash flow issues""",Medium
Customer Service,"Returns: ""Errors in items leading to storage issues""",High
Customer Service,"Delivery: ""Data breaches health insurance coverage""",Low
Finance,"Budgeting: ""Errors in financial reports leading to inaccurate decision-making""",Low
Operations,"Supply Chain: ""Delayed items leading to storage issues""",Medium
Customer Service,"Product Quality: ""Late conflicts among team members""",Medium
HR,"Compensation & Benefits: ""Outdated conflicts among team members""",Low
Operations,"Supply Chain: ""Insufficient computers slowing down productivity""",High
Tech,"Hardware: ""Data breaches sensitive information""",Medium
Customer Service,"Delivery: ""Outdated budget allocation for crucial projects""",Low
Operations,"Supply Chain: ""Delayed resulting in lost or damaged goods""",High
Tech,"Security: ""Insufficient computers slowing down productivity""",High
HR,"Compensation & Benefits: ""Late budget allocation for crucial projects""",High
Customer Service,"Communication: ""Inconsistencies deliveries disrupting customer schedules""",High
Customer Service,"Returns: ""Outdated defective products multiple times""",High
Customer Service,"Returns: ""Slow return process dissuading customers from making purchases""",Low
Finance,"Accounting: ""Shipping errors affecting production timelines""",Low
Customer Service,"Communication: ""Maintenance issues conflicts among team members""",High
Tech,"Software: ""Shipping errors health insurance coverage""",High
Finance,"Budgeting: ""Lack of resulting in lost or damaged goods""",Medium
Operations,"Logistics: ""Errors in health insurance coverage""",Medium
Tech,"Software: ""Delayed internet connection affecting remote work""",Low
Tech,"Hardware: ""Inconsistencies resulting in lost or damaged goods""",Low
Tech,"Software: ""Frequent items leading to storage issues""",Low
Customer Service,"Delivery: ""Inconsistencies internet connection affecting remote work""",High
HR,"Recruitment: ""Errors in items leading to storage issues""",Medium
Customer Service,"Returns: ""Lack of internet connection affecting remote work""",Low
Customer Service,"Product Quality: ""Overstocked causing workplace safety concerns""",Medium
Customer Service,"Communication: ""Unresolved internet connection affecting remote work""",High
Customer Service,"Communication: ""Unresolved software crashes causing work disruptions""",Low
Operations,"Facilities: ""Overstocked internet connection affecting remote work""",Medium
Customer Service,"Delivery: ""Complicated conflicts among team members""",High
HR,"Compensation & Benefits: ""Supplier delays hiring process""",High
Operations,"Supply Chain: ""Received deliveries disrupting customer schedules""",High
Operations,"Facilities: ""Poor health insurance coverage""",Medium
HR,"Compensation & Benefits: ""Overstocked computers slowing down productivity""",Low
Operations,"Facilities: ""Delayed communication regarding order status updates""",Medium
Finance,"Accounting: ""Maintenance issues computers slowing down productivity""",Medium
Operations,"Supply Chain: ""Data breaches items leading to storage issues""",Low
HR,"Employee Relations: ""Delayed during audit processes""",Low
Operations,"Inventory Management: ""Shipping errors internet connection affecting remote work""",High
Tech,"Network: ""Received resulting in lost or damaged goods""",Low
Tech,"Security: ""Unreliable health insurance coverage""",High
Tech,"Software: ""Slow invoicing causing cash flow issues""",High
Tech,"Hardware: ""Supplier delays software crashes causing work disruptions""",High
HR,"Compensation & Benefits: ""Overstocked sensitive information""",High
Operations,"Logistics: ""Slow defective products multiple times""",High
Operations,"Logistics: ""Unreliable computers slowing down productivity""",High
HR,"Employee Relations: ""Inadequate conflicts among team members""",Medium
Finance,"Accounting: ""Lack of items leading to storage issues""",High
Finance,"Auditing: ""Late financial reports leading to inaccurate decision-making""",Medium
Operations,"Supply Chain: ""Complicated financial reports leading to inaccurate decision-making""",Medium
Finance,"Budgeting: ""Lack of computers slowing down productivity""",Low
Operations,"Logistics: ""Lack of internet connection affecting remote work""",Medium
Tech,"Security: ""Shipping errors during audit processes""",Low
HR,"Recruitment: ""Received defective products multiple times""",Medium
Operations,"Logistics: ""Insufficient software crashes causing work disruptions""",Low
Operations,"Logistics: ""Supplier delays return process dissuading customers from making purchases""",Medium
Tech,"Software: ""Supplier delays budget allocation for crucial projects""",Medium
Operations,"Facilities: ""Poor financial reports leading to inaccurate decision-making""",Low
Tech,"Hardware: ""Supplier delays causing workplace safety concerns""",Low
Customer Service,"Delivery: ""Supplier delays software crashes causing work disruptions""",Medium
HR,"Training & Development: ""Insufficient financial reports leading to inaccurate decision-making""",High
HR,"Compensation & Benefits: ""Poor return process dissuading customers from making purchases""",High
HR,"Recruitment: ""Poor health insurance coverage""",High
Tech,"Network: ""Inconsistencies health insurance coverage""",Low
Finance,"Auditing: ""Supplier delays budget allocation for crucial projects""",High
Operations,"Supply Chain: ""Complicated resulting in lost or damaged goods""",High
Tech,"Security: ""Slow defective products multiple times""",Low
Tech,"Hardware: ""Complicated return process dissuading customers from making purchases""",High
Customer Service,"Product Quality: ""Outdated health insurance coverage""",Low
Customer Service,"Returns: ""Inadequate health insurance coverage""",Medium
Operations,"Supply Chain: ""Slow deliveries disrupting customer schedules""",Low
Finance,"Budgeting: ""Overstocked hiring process""",Medium
Customer Service,"Product Quality: ""Slow affecting production timelines""",Low
Tech,"Hardware: ""Received software crashes causing work disruptions""",Medium
HR,"Training & Development: ""Inadequate professional growth opportunities""",High
Customer Service,"Product Quality: ""Frequent affecting production timelines""",Medium
Finance,"Billing: ""Shipping errors communication regarding order status updates""",Medium
HR,"Compensation & Benefits: ""Unreliable deliveries disrupting customer schedules""",High
Customer Service,"Product Quality: ""Inconsistencies causing workplace safety concerns""",Low
Tech,"Hardware: ""Outdated communication regarding order status updates""",Medium
Tech,"Hardware: ""Overstocked hiring process""",High
Finance,"Billing: ""Unresolved conflicts among team members""",Low
Tech,"Network: ""Slow health insurance coverage""",Low
Customer Service,"Product Quality: ""Maintenance issues internet connection affecting remote work""",Low
Operations,"Facilities: ""Insufficient sensitive information""",Medium
Customer Service,"Product Quality: ""Slow budget allocation for crucial projects""",High
Customer Service,"Delivery: ""Complicated software crashes causing work disruptions""",Medium
Tech,"Software: ""Outdated sensitive information""",Low
Operations,"Facilities: ""Data breaches health insurance coverage""",Low
Finance,"Auditing: ""Outdated defective products multiple times""",Medium
Finance,"Accounting: ""Inconsistencies return process dissuading customers from making purchases""",Low
Finance,"Auditing: ""Maintenance issues conflicts among team members""",Low
Finance,"Billing: ""Supplier delays internet connection affecting remote work""",Low
Customer Service,"Communication: ""Late health insurance coverage""",High
Operations,"Logistics: ""Data breaches invoicing causing cash flow issues""",Low
Customer Service,"Returns: ""Supplier delays causing workplace safety concerns""",High
Tech,"Software: ""Supplier delays resulting in lost or damaged goods""",Medium
Customer Service,"Communication: ""Slow deliveries disrupting customer schedules""",Low
HR,"Employee Relations: ""Received defective products multiple times""",High
Operations,"Facilities: ""Inconsistencies professional growth opportunities""",High
HR,"Recruitment: ""Overstocked software crashes causing work disruptions""",Low
Operations,"Facilities: ""Lack of computers slowing down productivity""",High
Customer Service,"Product Quality: ""Shipping errors hiring process""",Medium
Finance,"Auditing: ""Slow items leading to storage issues""",High
HR,"Recruitment: ""Delayed communication regarding order status updates""",High
Customer Service,"Product Quality: ""Insufficient sensitive information""",Low
Tech,"Security: ""Late health insurance coverage""",Low
Finance,"Billing: ""Outdated during audit processes""",Medium
Customer Service,"Product Quality: ""Received financial reports leading to inaccurate decision-making""",High
Operations,"Facilities: ""Delayed internet connection affecting remote work""",Low
Finance,"Auditing: ""Errors in budget allocation for crucial projects""",Low
Operations,"Supply Chain: ""Outdated software crashes causing work disruptions""",Low
Customer Service,"Communication: ""Complicated computers slowing down productivity""",Medium
Customer Service,"Delivery: ""Maintenance issues resulting in lost or damaged goods""",High
Tech,"Software: ""Inconsistencies professional growth opportunities""",High
Finance,"Billing: ""Received affecting production timelines""",High
Customer Service,"Delivery: ""Outdated financial reports leading to inaccurate decision-making""",High
Tech,"Network: ""Unreliable software crashes causing work disruptions""",Medium
Operations,"Supply Chain: ""Maintenance issues professional growth opportunities""",Medium
Tech,"Software: ""Late professional growth opportunities""",High
Customer Service,"Product Quality: ""Inconsistencies during audit processes""",Low
Customer Service,"Returns: ""Supplier delays during audit processes""",High
HR,"Recruitment: ""Slow computers slowing down productivity""",High
Tech,"Network: ""Late conflicts among team members""",Low
Operations,"Logistics: ""Inconsistencies budget allocation for crucial projects""",Low
Operations,"Supply Chain: ""Late financial reports leading to inaccurate decision-making""",Medium
Customer Service,"Returns: ""Poor items leading to storage issues""",Medium
Tech,"Software: ""Poor computers slowing down productivity""",Medium
Tech,"Software: ""Slow communication regarding order status updates""",Low
Tech,"Hardware: ""Errors in professional growth opportunities""",Medium
Finance,"Accounting: ""Insufficient hiring process""",High
Customer Service,"Communication: ""Unresolved hiring process""",Low
Tech,"Security: ""Unreliable deliveries disrupting customer schedules""",Medium
HR,"Training & Development: ""Delayed communication regarding order status updates""",Medium
Operations,"Logistics: ""Late affecting production timelines""",Low
Finance,"Budgeting: ""Unresolved deliveries disrupting customer schedules""",Medium
Customer Service,"Communication: ""Supplier delays causing workplace safety concerns""",Low
Customer Service,"Communication: ""Inadequate causing workplace safety concerns""",Medium
HR,"Compensation & Benefits: ""Insufficient budget allocation for crucial projects""",Medium
Tech,"Network: ""Supplier delays deliveries disrupting customer schedules""",Low
Customer Service,"Returns: ""Unreliable health insurance coverage""",High
